Team A,Team B,Team A Winrate vs B,Team A Winrate,Team A K/D Ratio,Team A Average Damage,Team A Average Combat Score,Team A Average First Kills,Team A Average First Deaths Per Round,Team B Winrate vs A,Team B Winrate,Team B K/D Ratio,Team B Average Damage,Team B Average Combat Score,Team B Average First Kills,Team B Average First Deaths Per Round,Team A Win
Rex Regum Qeon,DRX,100.0,61.53846153846154,1.09,130.82,198.33,6.41,0.1,0.0,68.75,1.09,128.53,196.68,6.51,0.09,True
TALON,Nongshim RedForce,100.0,50.0,0.99,123.5,187.45,5.02,0.1,0.0,54.54545454545454,1.08,126.82,194.24,5.93,0.08,True
T1,Paper Rex,50.0,60.0,1.05,130.92,198.65,6.11,0.1,50.0,50.0,1.1,133.42,202.68,5.31,0.09,False
DRX,TALON,100.0,68.75,1.09,128.53,196.68,6.51,0.09,0.0,50.0,0.99,123.5,187.45,5.02,0.1,True
BOOM Esports,Paper Rex,50.0,55.55555555555556,1.07,130.7,200.86,5.65,0.1,50.0,50.0,1.1,133.42,202.68,5.31,0.09,False
Gen.G,Rex Regum Qeon,50.0,64.28571428571429,1.16,131.4,200.93,5.98,0.1,50.0,61.53846153846154,1.09,130.82,198.33,6.41,0.1,True
DRX,Paper Rex,50.0,68.75,1.09,128.53,196.68,6.51,0.09,50.0,50.0,1.1,133.42,202.68,5.31,0.09,False
Rex Regum Qeon,Paper Rex,100.0,61.53846153846154,1.09,130.82,198.33,6.41,0.1,0.0,50.0,1.1,133.42,202.68,5.31,0.09,True
Gen.G,Rex Regum Qeon,50.0,64.28571428571429,1.16,131.4,200.93,5.98,0.1,50.0,61.53846153846154,1.09,130.82,198.33,6.41,0.1,False
Xi Lai Gaming,Bilibili Gaming,50.0,78.57142857142857,1.17,135.79,205.57,2.7,0.1,50.0,64.28571428571429,1.12,134.17,202.43,3.88,0.09,False
Trace Esports,All Gamers,100.0,53.84615384615385,1.01,115.04,192.62,2.21,0.11,0.0,0.0,0.8,112.04,177.35,0.91,0.12,True
Dragon Ranger Gaming,Nova Esports,100.0,53.84615384615385,1.0,129.07,195.11,3.08,0.11,0.0,45.45454545454545,0.96,117.91,193.36,1.44,0.12,True
TYLOO,EDward Gaming,0.0,14.285714285714285,0.97,130.88,190.99,2.25,0.1,100.0,68.42105263157895,1.1,133.73,205.74,3.58,0.1,False
JDG Esports,Wolves Esports,0.0,25.0,1.0,124.13,191.92,1.73,0.1,100.0,45.45454545454545,0.99,134.38,197.11,3.04,0.11,False
FunPlus Phoenix,Titan Esports Club,100.0,37.5,1.09,123.58,201.48,1.45,0.1,0.0,40.0,0.98,131.74,196.7,3.39,0.1,True
Nova Esports,EDward Gaming,50.0,45.45454545454545,0.96,117.91,193.36,1.44,0.12,50.0,68.42105263157895,1.1,133.73,205.74,3.58,0.1,True
TYLOO,FunPlus Phoenix,0.0,14.285714285714285,0.97,130.88,190.99,2.25,0.1,100.0,37.5,1.09,123.58,201.48,1.45,0.1,False
Xi Lai Gaming,All Gamers,100.0,78.57142857142857,1.17,135.79,205.57,2.7,0.1,0.0,0.0,0.8,112.04,177.35,0.91,0.12,True
Wolves Esports,Trace Esports,100.0,45.45454545454545,0.99,134.38,197.11,3.04,0.11,0.0,53.84615384615385,1.01,115.04,192.62,2.21,0.11,True
Titan Esports Club,Dragon Ranger Gaming,50.0,40.0,0.98,131.74,196.7,3.39,0.1,50.0,53.84615384615385,1.0,129.07,195.11,3.08,0.11,True
Bilibili Gaming,JDG Esports,100.0,64.28571428571429,1.12,134.17,202.43,3.88,0.09,0.0,25.0,1.0,124.13,191.92,1.73,0.1,True
JDG Esports,Trace Esports,0.0,25.0,1.0,124.13,191.92,1.73,0.1,100.0,53.84615384615385,1.01,115.04,192.62,2.21,0.11,False
Wolves Esports,Xi Lai Gaming,0.0,45.45454545454545,0.99,134.38,197.11,3.04,0.11,100.0,78.57142857142857,1.17,135.79,205.57,2.7,0.1,False
TYLOO,Titan Esports Club,0.0,14.285714285714285,0.97,130.88,190.99,2.25,0.1,100.0,40.0,0.98,131.74,196.7,3.39,0.1,False
Dragon Ranger Gaming,EDward Gaming,0.0,53.84615384615385,1.0,129.07,195.11,3.08,0.11,100.0,68.42105263157895,1.1,133.73,205.74,3.58,0.1,False
Nova Esports,FunPlus Phoenix,100.0,45.45454545454545,0.96,117.91,193.36,1.44,0.12,0.0,37.5,1.09,123.58,201.48,1.45,0.1,True
All Gamers,Bilibili Gaming,0.0,0.0,0.8,112.04,177.35,0.91,0.12,100.0,64.28571428571429,1.12,134.17,202.43,3.88,0.09,False
FunPlus Phoenix,Dragon Ranger Gaming,0.0,37.5,1.09,123.58,201.48,1.45,0.1,100.0,53.84615384615385,1.0,129.07,195.11,3.08,0.11,False
Bilibili Gaming,Wolves Esports,50.0,64.28571428571429,1.12,134.17,202.43,3.88,0.09,50.0,45.45454545454545,0.99,134.38,197.11,3.04,0.11,True
All Gamers,JDG Esports,0.0,0.0,0.8,112.04,177.35,0.91,0.12,100.0,25.0,1.0,124.13,191.92,1.73,0.1,False
EDward Gaming,Titan Esports Club,100.0,68.42105263157895,1.1,133.73,205.74,3.58,0.1,0.0,40.0,0.98,131.74,196.7,3.39,0.1,True
Nova Esports,TYLOO,100.0,45.45454545454545,0.96,117.91,193.36,1.44,0.12,0.0,14.285714285714285,0.97,130.88,190.99,2.25,0.1,True
Trace Esports,Xi Lai Gaming,0.0,53.84615384615385,1.01,115.04,192.62,2.21,0.11,100.0,78.57142857142857,1.17,135.79,205.57,2.7,0.1,False
JDG Esports,Xi Lai Gaming,0.0,25.0,1.0,124.13,191.92,1.73,0.1,100.0,78.57142857142857,1.17,135.79,205.57,2.7,0.1,False
Dragon Ranger Gaming,TYLOO,50.0,53.84615384615385,1.0,129.07,195.11,3.08,0.11,50.0,14.285714285714285,0.97,130.88,190.99,2.25,0.1,False
Wolves Esports,All Gamers,100.0,45.45454545454545,0.99,134.38,197.11,3.04,0.11,0.0,0.0,0.8,112.04,177.35,0.91,0.12,True
Bilibili Gaming,Trace Esports,50.0,64.28571428571429,1.12,134.17,202.43,3.88,0.09,50.0,53.84615384615385,1.01,115.04,192.62,2.21,0.11,False
Titan Esports Club,Nova Esports,100.0,40.0,0.98,131.74,196.7,3.39,0.1,0.0,45.45454545454545,0.96,117.91,193.36,1.44,0.12,True
EDward Gaming,FunPlus Phoenix,100.0,68.42105263157895,1.1,133.73,205.74,3.58,0.1,0.0,37.5,1.09,123.58,201.48,1.45,0.1,True
Titan Esports Club,Wolves Esports,0.0,40.0,0.98,131.74,196.7,3.39,0.1,100.0,45.45454545454545,0.99,134.38,197.11,3.04,0.11,False
Xi Lai Gaming,Nova Esports,100.0,78.57142857142857,1.17,135.79,205.57,2.7,0.1,0.0,45.45454545454545,0.96,117.91,193.36,1.44,0.12,True
Titan Esports Club,Dragon Ranger Gaming,50.0,40.0,0.98,131.74,196.7,3.39,0.1,50.0,53.84615384615385,1.0,129.07,195.11,3.08,0.11,False
Nova Esports,Trace Esports,0.0,45.45454545454545,0.96,117.91,193.36,1.44,0.12,100.0,53.84615384615385,1.01,115.04,192.62,2.21,0.11,False
Bilibili Gaming,Wolves Esports,50.0,64.28571428571429,1.12,134.17,202.43,3.88,0.09,50.0,45.45454545454545,0.99,134.38,197.11,3.04,0.11,False
EDward Gaming,Xi Lai Gaming,50.0,68.42105263157895,1.1,133.73,205.74,3.58,0.1,50.0,78.57142857142857,1.17,135.79,205.57,2.7,0.1,False
Bilibili Gaming,Trace Esports,50.0,64.28571428571429,1.12,134.17,202.43,3.88,0.09,50.0,53.84615384615385,1.01,115.04,192.62,2.21,0.11,True
EDward Gaming,Dragon Ranger Gaming,100.0,68.42105263157895,1.1,133.73,205.74,3.58,0.1,0.0,53.84615384615385,1.0,129.07,195.11,3.08,0.11,True
Wolves Esports,Xi Lai Gaming,0.0,45.45454545454545,0.99,134.38,197.11,3.04,0.11,100.0,78.57142857142857,1.17,135.79,205.57,2.7,0.1,False
EDward Gaming,Bilibili Gaming,50.0,68.42105263157895,1.1,133.73,205.74,3.58,0.1,50.0,64.28571428571429,1.12,134.17,202.43,3.88,0.09,False
Wolves Esports,Bilibili Gaming,50.0,45.45454545454545,0.99,134.38,197.11,3.04,0.11,50.0,64.28571428571429,1.12,134.17,202.43,3.88,0.09,False
Xi Lai Gaming,Bilibili Gaming,50.0,78.57142857142857,1.17,135.79,205.57,2.7,0.1,50.0,64.28571428571429,1.12,134.17,202.43,3.88,0.09,True
Cloud9,Mega Minors,,40.0,1.01,127.73,194.34,5.18,0.1,,0.0,1.06,132.22,200.28,4.81,0.1,True
KRÜ Esports,LOUD,50.0,58.333333333333336,1.1,131.5,200.45,5.29,0.09,50.0,22.22222222222222,1.04,134.14,201.51,6.03,0.1,True
G2 Esports,FURIA,100.0,85.0,1.14,133.75,205.11,7.91,0.09,0.0,12.5,0.86,117.84,178.16,3.7,0.11,True
MIBR,LEVIATÁN,100.0,66.66666666666666,1.07,129.72,196.48,6.76,0.1,0.0,25.0,0.98,128.71,191.83,4.12,0.11,True
2Game Esports,Evil Geniuses,0.0,14.285714285714285,0.82,120.03,180.97,4.35,0.11,100.0,54.54545454545454,1.0,130.87,198.09,5.0,0.1,False
Sentinels,100 Thieves,100.0,62.5,1.07,130.42,198.68,5.89,0.1,0.0,45.45454545454545,1.03,128.17,194.13,5.2,0.1,True
Mega Minors,FURIA,,0.0,1.06,132.22,200.28,4.81,0.1,,12.5,0.86,117.84,178.16,3.7,0.11,False
Sentinels,KRÜ Esports,0.0,62.5,1.07,130.42,198.68,5.89,0.1,100.0,58.333333333333336,1.1,131.5,200.45,5.29,0.09,False
100 Thieves,Evil Geniuses,100.0,45.45454545454545,1.03,128.17,194.13,5.2,0.1,0.0,54.54545454545454,1.0,130.87,198.09,5.0,0.1,True
G2 Esports,MIBR,100.0,85.0,1.14,133.75,205.11,7.91,0.09,0.0,66.66666666666666,1.07,129.72,196.48,6.76,0.1,True
LOUD,2Game Esports,0.0,22.22222222222222,1.04,134.14,201.51,6.03,0.1,100.0,14.285714285714285,0.82,120.03,180.97,4.35,0.11,False
LEVIATÁN,Cloud9,0.0,25.0,0.98,128.71,191.83,4.12,0.11,100.0,40.0,1.01,127.73,194.34,5.18,0.1,False
Evil Geniuses,Sentinels,0.0,54.54545454545454,1.0,130.87,198.09,5.0,0.1,100.0,62.5,1.07,130.42,198.68,5.89,0.1,False
100 Thieves,LOUD,100.0,45.45454545454545,1.03,128.17,194.13,5.2,0.1,0.0,22.22222222222222,1.04,134.14,201.51,6.03,0.1,True
2Game Esports,KRÜ Esports,0.0,14.285714285714285,0.82,120.03,180.97,4.35,0.11,100.0,58.333333333333336,1.1,131.5,200.45,5.29,0.09,False
G2 Esports,Mega Minors,,85.0,1.14,133.75,205.11,7.91,0.09,,0.0,1.06,132.22,200.28,4.81,0.1,True
FURIA,LEVIATÁN,0.0,12.5,0.86,117.84,178.16,3.7,0.11,100.0,25.0,0.98,128.71,191.83,4.12,0.11,False
Cloud9,MIBR,0.0,40.0,1.01,127.73,194.34,5.18,0.1,100.0,66.66666666666666,1.07,129.72,196.48,6.76,0.1,False
100 Thieves,2Game Esports,100.0,45.45454545454545,1.03,128.17,194.13,5.2,0.1,0.0,14.285714285714285,0.82,120.03,180.97,4.35,0.11,True
G2 Esports,LEVIATÁN,100.0,85.0,1.14,133.75,205.11,7.91,0.09,0.0,25.0,0.98,128.71,191.83,4.12,0.11,True
FURIA,Cloud9,0.0,12.5,0.86,117.84,178.16,3.7,0.11,100.0,40.0,1.01,127.73,194.34,5.18,0.1,False
Sentinels,LOUD,100.0,62.5,1.07,130.42,198.68,5.89,0.1,0.0,22.22222222222222,1.04,134.14,201.51,6.03,0.1,True
KRÜ Esports,Evil Geniuses,0.0,58.333333333333336,1.1,131.5,200.45,5.29,0.09,100.0,54.54545454545454,1.0,130.87,198.09,5.0,0.1,False
Mega Minors,MIBR,,0.0,1.06,132.22,200.28,4.81,0.1,,66.66666666666666,1.07,129.72,196.48,6.76,0.1,False
G2 Esports,Cloud9,100.0,85.0,1.14,133.75,205.11,7.91,0.09,0.0,40.0,1.01,127.73,194.34,5.18,0.1,True
MIBR,FURIA,100.0,66.66666666666666,1.07,129.72,196.48,6.76,0.1,0.0,12.5,0.86,117.84,178.16,3.7,0.11,True
Sentinels,2Game Esports,100.0,62.5,1.07,130.42,198.68,5.89,0.1,0.0,14.285714285714285,0.82,120.03,180.97,4.35,0.11,True
KRÜ Esports,100 Thieves,100.0,58.333333333333336,1.1,131.5,200.45,5.29,0.09,0.0,45.45454545454545,1.03,128.17,194.13,5.2,0.1,True
Evil Geniuses,LOUD,50.0,54.54545454545454,1.0,130.87,198.09,5.0,0.1,50.0,22.22222222222222,1.04,134.14,201.51,6.03,0.1,True
LEVIATÁN,Mega Minors,,25.0,0.98,128.71,191.83,4.12,0.11,,0.0,1.06,132.22,200.28,4.81,0.1,False
MIBR,100 Thieves,50.0,66.66666666666666,1.07,129.72,196.48,6.76,0.1,50.0,45.45454545454545,1.03,128.17,194.13,5.2,0.1,True
Sentinels,Cloud9,100.0,62.5,1.07,130.42,198.68,5.89,0.1,0.0,40.0,1.01,127.73,194.34,5.18,0.1,True
100 Thieves,Mega Minors,,45.45454545454545,1.03,128.17,194.13,5.2,0.1,,0.0,1.06,132.22,200.28,4.81,0.1,True
Cloud9,Evil Geniuses,0.0,40.0,1.01,127.73,194.34,5.18,0.1,100.0,54.54545454545454,1.0,130.87,198.09,5.0,0.1,False
KRÜ Esports,MIBR,0.0,58.333333333333336,1.1,131.5,200.45,5.29,0.09,100.0,66.66666666666666,1.07,129.72,196.48,6.76,0.1,False
G2 Esports,Sentinels,50.0,85.0,1.14,133.75,205.11,7.91,0.09,50.0,62.5,1.07,130.42,198.68,5.89,0.1,False
KRÜ Esports,Evil Geniuses,0.0,58.333333333333336,1.1,131.5,200.45,5.29,0.09,100.0,54.54545454545454,1.0,130.87,198.09,5.0,0.1,False
G2 Esports,100 Thieves,100.0,85.0,1.14,133.75,205.11,7.91,0.09,0.0,45.45454545454545,1.03,128.17,194.13,5.2,0.1,True
MIBR,Sentinels,0.0,66.66666666666666,1.07,129.72,196.48,6.76,0.1,100.0,62.5,1.07,130.42,198.68,5.89,0.1,False
G2 Esports,Evil Geniuses,100.0,85.0,1.14,133.75,205.11,7.91,0.09,0.0,54.54545454545454,1.0,130.87,198.09,5.0,0.1,True
