Match Name,Team,Outcome,Team A,Team B,Team A Pistol Winrate vs B,Team B Pistol Winrate vs A,Team A Pistol Winrate,Team B Pistol Winrate,Team A K/D Ratio,Team A Average Damage,Team A Average Combat Score,Team A Average First Kills,Team A Average First Deaths Per Round,Team B K/D Ratio,Team B Average Damage,Team B Average Combat Score,Team B Average First Kills,Team B Average First Deaths Per Round
KOI vs BBL Esports,KOI,1,KOI,BBL Esports,50.0,50.0,52.94117647058824,53.125,0.89,121.3,182.35,4.37,0.11,1.07,130.05,199.15,5.51,0.1
KOI vs BBL Esports,BBL Esports,0,KOI,BBL Esports,50.0,50.0,52.94117647058824,53.125,0.89,121.3,182.35,4.37,0.11,1.07,130.05,199.15,5.51,0.1
KOI vs BBL Esports,KOI,0,KOI,BBL Esports,50.0,50.0,52.94117647058824,53.125,0.89,121.3,182.35,4.37,0.11,1.07,130.05,199.15,5.51,0.1
KOI vs BBL Esports,BBL Esports,1,KOI,BBL Esports,50.0,50.0,52.94117647058824,53.125,0.89,121.3,182.35,4.37,0.11,1.07,130.05,199.15,5.51,0.1
Natus Vincere vs GIANTX,Natus Vincere,1,Natus Vincere,GIANTX,100.0,0.0,46.15384615384615,14.285714285714285,1.04,126.17,189.95,5.06,0.1,0.9,123.5,186.22,4.5,0.12
Natus Vincere vs GIANTX,GIANTX,0,Natus Vincere,GIANTX,100.0,0.0,46.15384615384615,14.285714285714285,1.04,126.17,189.95,5.06,0.1,0.9,123.5,186.22,4.5,0.12
Natus Vincere vs GIANTX,Natus Vincere,1,Natus Vincere,GIANTX,100.0,0.0,46.15384615384615,14.285714285714285,1.04,126.17,189.95,5.06,0.1,0.9,123.5,186.22,4.5,0.12
Natus Vincere vs GIANTX,GIANTX,0,Natus Vincere,GIANTX,100.0,0.0,46.15384615384615,14.285714285714285,1.04,126.17,189.95,5.06,0.1,0.9,123.5,186.22,4.5,0.12
Natus Vincere vs GIANTX,Natus Vincere,1,Natus Vincere,GIANTX,100.0,0.0,46.15384615384615,14.285714285714285,1.04,126.17,189.95,5.06,0.1,0.9,123.5,186.22,4.5,0.12
Natus Vincere vs GIANTX,GIANTX,0,Natus Vincere,GIANTX,100.0,0.0,46.15384615384615,14.285714285714285,1.04,126.17,189.95,5.06,0.1,0.9,123.5,186.22,4.5,0.12
Team Liquid vs FUT Esports,Team Liquid,1,Team Liquid,FUT Esports,42.857142857142854,57.14285714285714,56.36363636363636,55.55555555555556,1.09,132.01,199.34,5.95,0.09,1.0,126.64,193.14,5.11,0.1
Team Liquid vs FUT Esports,FUT Esports,0,Team Liquid,FUT Esports,42.857142857142854,57.14285714285714,56.36363636363636,55.55555555555556,1.09,132.01,199.34,5.95,0.09,1.0,126.64,193.14,5.11,0.1
Team Liquid vs FUT Esports,Team Liquid,0,Team Liquid,FUT Esports,42.857142857142854,57.14285714285714,56.36363636363636,55.55555555555556,1.09,132.01,199.34,5.95,0.09,1.0,126.64,193.14,5.11,0.1
Team Liquid vs FUT Esports,FUT Esports,1,Team Liquid,FUT Esports,42.857142857142854,57.14285714285714,56.36363636363636,55.55555555555556,1.09,132.01,199.34,5.95,0.09,1.0,126.64,193.14,5.11,0.1
Team Vitality vs Team Heretics,Team Vitality,1,Team Vitality,Team Heretics,100.0,0.0,62.857142857142854,56.25,1.03,127.68,197.07,5.18,0.11,1.08,130.87,198.26,5.65,0.09
Team Vitality vs Team Heretics,Team Heretics,0,Team Vitality,Team Heretics,100.0,0.0,62.857142857142854,56.25,1.03,127.68,197.07,5.18,0.11,1.08,130.87,198.26,5.65,0.09
Team Vitality vs Team Heretics,Team Vitality,1,Team Vitality,Team Heretics,100.0,0.0,62.857142857142854,56.25,1.03,127.68,197.07,5.18,0.11,1.08,130.87,198.26,5.65,0.09
Team Vitality vs Team Heretics,Team Heretics,0,Team Vitality,Team Heretics,100.0,0.0,62.857142857142854,56.25,1.03,127.68,197.07,5.18,0.11,1.08,130.87,198.26,5.65,0.09
Apeks vs FNATIC,Apeks,0,Apeks,FNATIC,0.0,100.0,35.294117647058826,59.375,0.88,121.8,184.96,4.83,0.11,1.17,136.31,206.56,6.26,0.1
Apeks vs FNATIC,FNATIC,1,Apeks,FNATIC,0.0,100.0,35.294117647058826,59.375,0.88,121.8,184.96,4.83,0.11,1.17,136.31,206.56,6.26,0.1
Apeks vs FNATIC,Apeks,0,Apeks,FNATIC,0.0,100.0,35.294117647058826,59.375,0.88,121.8,184.96,4.83,0.11,1.17,136.31,206.56,6.26,0.1
Apeks vs FNATIC,FNATIC,1,Apeks,FNATIC,0.0,100.0,35.294117647058826,59.375,0.88,121.8,184.96,4.83,0.11,1.17,136.31,206.56,6.26,0.1
Karmine Corp vs Gentle Mates,Karmine Corp,0,Karmine Corp,Gentle Mates,50.0,50.0,50.0,43.47826086956522,1.16,128.38,194.6,5.14,0.11,0.94,120.8,183.23,4.73,0.11
Karmine Corp vs Gentle Mates,Gentle Mates,1,Karmine Corp,Gentle Mates,50.0,50.0,50.0,43.47826086956522,1.16,128.38,194.6,5.14,0.11,0.94,120.8,183.23,4.73,0.11
Karmine Corp vs Gentle Mates,Karmine Corp,1,Karmine Corp,Gentle Mates,50.0,50.0,50.0,43.47826086956522,1.16,128.38,194.6,5.14,0.11,0.94,120.8,183.23,4.73,0.11
Karmine Corp vs Gentle Mates,Gentle Mates,0,Karmine Corp,Gentle Mates,50.0,50.0,50.0,43.47826086956522,1.16,128.38,194.6,5.14,0.11,0.94,120.8,183.23,4.73,0.11
Team Vitality vs Apeks,Team Vitality,1,Team Vitality,Apeks,50.0,50.0,62.857142857142854,35.294117647058826,1.03,127.68,197.07,5.18,0.11,0.88,121.8,184.96,4.83,0.11
Team Vitality vs Apeks,Apeks,0,Team Vitality,Apeks,50.0,50.0,62.857142857142854,35.294117647058826,1.03,127.68,197.07,5.18,0.11,0.88,121.8,184.96,4.83,0.11
Team Vitality vs Apeks,Team Vitality,0,Team Vitality,Apeks,50.0,50.0,62.857142857142854,35.294117647058826,1.03,127.68,197.07,5.18,0.11,0.88,121.8,184.96,4.83,0.11
Team Vitality vs Apeks,Apeks,1,Team Vitality,Apeks,50.0,50.0,62.857142857142854,35.294117647058826,1.03,127.68,197.07,5.18,0.11,0.88,121.8,184.96,4.83,0.11
Team Liquid vs KOI,Team Liquid,1,Team Liquid,KOI,80.0,20.0,56.36363636363636,52.94117647058824,1.09,132.01,199.34,5.95,0.09,0.89,121.3,182.35,4.37,0.11
Team Liquid vs KOI,KOI,0,Team Liquid,KOI,80.0,20.0,56.36363636363636,52.94117647058824,1.09,132.01,199.34,5.95,0.09,0.89,121.3,182.35,4.37,0.11
Team Liquid vs KOI,Team Liquid,1,Team Liquid,KOI,80.0,20.0,56.36363636363636,52.94117647058824,1.09,132.01,199.34,5.95,0.09,0.89,121.3,182.35,4.37,0.11
Team Liquid vs KOI,KOI,0,Team Liquid,KOI,80.0,20.0,56.36363636363636,52.94117647058824,1.09,132.01,199.34,5.95,0.09,0.89,121.3,182.35,4.37,0.11
Gentle Mates vs BBL Esports,Gentle Mates,0,Gentle Mates,BBL Esports,0.0,100.0,43.47826086956522,53.125,0.94,120.8,183.23,4.73,0.11,1.07,130.05,199.15,5.51,0.1
Gentle Mates vs BBL Esports,BBL Esports,1,Gentle Mates,BBL Esports,0.0,100.0,43.47826086956522,53.125,0.94,120.8,183.23,4.73,0.11,1.07,130.05,199.15,5.51,0.1
Gentle Mates vs BBL Esports,Gentle Mates,0,Gentle Mates,BBL Esports,0.0,100.0,43.47826086956522,53.125,0.94,120.8,183.23,4.73,0.11,1.07,130.05,199.15,5.51,0.1
Gentle Mates vs BBL Esports,BBL Esports,1,Gentle Mates,BBL Esports,0.0,100.0,43.47826086956522,53.125,0.94,120.8,183.23,4.73,0.11,1.07,130.05,199.15,5.51,0.1
GIANTX vs FNATIC,GIANTX,0,GIANTX,FNATIC,33.33333333333333,66.66666666666666,14.285714285714285,59.375,0.9,123.5,186.22,4.5,0.12,1.17,136.31,206.56,6.26,0.1
GIANTX vs FNATIC,FNATIC,1,GIANTX,FNATIC,33.33333333333333,66.66666666666666,14.285714285714285,59.375,0.9,123.5,186.22,4.5,0.12,1.17,136.31,206.56,6.26,0.1
GIANTX vs FNATIC,GIANTX,1,GIANTX,FNATIC,33.33333333333333,66.66666666666666,14.285714285714285,59.375,0.9,123.5,186.22,4.5,0.12,1.17,136.31,206.56,6.26,0.1
GIANTX vs FNATIC,FNATIC,0,GIANTX,FNATIC,33.33333333333333,66.66666666666666,14.285714285714285,59.375,0.9,123.5,186.22,4.5,0.12,1.17,136.31,206.56,6.26,0.1
GIANTX vs FNATIC,GIANTX,0,GIANTX,FNATIC,33.33333333333333,66.66666666666666,14.285714285714285,59.375,0.9,123.5,186.22,4.5,0.12,1.17,136.31,206.56,6.26,0.1
GIANTX vs FNATIC,FNATIC,1,GIANTX,FNATIC,33.33333333333333,66.66666666666666,14.285714285714285,59.375,0.9,123.5,186.22,4.5,0.12,1.17,136.31,206.56,6.26,0.1
Karmine Corp vs FUT Esports,Karmine Corp,1,Karmine Corp,FUT Esports,66.66666666666666,33.33333333333333,50.0,55.55555555555556,1.16,128.38,194.6,5.14,0.11,1.0,126.64,193.14,5.11,0.1
Karmine Corp vs FUT Esports,FUT Esports,0,Karmine Corp,FUT Esports,66.66666666666666,33.33333333333333,50.0,55.55555555555556,1.16,128.38,194.6,5.14,0.11,1.0,126.64,193.14,5.11,0.1
Karmine Corp vs FUT Esports,Karmine Corp,1,Karmine Corp,FUT Esports,66.66666666666666,33.33333333333333,50.0,55.55555555555556,1.16,128.38,194.6,5.14,0.11,1.0,126.64,193.14,5.11,0.1
Karmine Corp vs FUT Esports,FUT Esports,0,Karmine Corp,FUT Esports,66.66666666666666,33.33333333333333,50.0,55.55555555555556,1.16,128.38,194.6,5.14,0.11,1.0,126.64,193.14,5.11,0.1
Karmine Corp vs FUT Esports,Karmine Corp,0,Karmine Corp,FUT Esports,66.66666666666666,33.33333333333333,50.0,55.55555555555556,1.16,128.38,194.6,5.14,0.11,1.0,126.64,193.14,5.11,0.1
Karmine Corp vs FUT Esports,FUT Esports,1,Karmine Corp,FUT Esports,66.66666666666666,33.33333333333333,50.0,55.55555555555556,1.16,128.38,194.6,5.14,0.11,1.0,126.64,193.14,5.11,0.1
Natus Vincere vs Team Heretics,Natus Vincere,0,Natus Vincere,Team Heretics,0.0,100.0,46.15384615384615,56.25,1.04,126.17,189.95,5.06,0.1,1.08,130.87,198.26,5.65,0.09
Natus Vincere vs Team Heretics,Team Heretics,1,Natus Vincere,Team Heretics,0.0,100.0,46.15384615384615,56.25,1.04,126.17,189.95,5.06,0.1,1.08,130.87,198.26,5.65,0.09
Natus Vincere vs Team Heretics,Natus Vincere,0,Natus Vincere,Team Heretics,0.0,100.0,46.15384615384615,56.25,1.04,126.17,189.95,5.06,0.1,1.08,130.87,198.26,5.65,0.09
Natus Vincere vs Team Heretics,Team Heretics,1,Natus Vincere,Team Heretics,0.0,100.0,46.15384615384615,56.25,1.04,126.17,189.95,5.06,0.1,1.08,130.87,198.26,5.65,0.09
